role_id,question_id,question_group,question_prompt,required_for_generation,applicable,answer_index,value_kind,value_code,display_label,response_status,basis,value_reference,semantic_status,source_profile_sha256
cityrole-0001,B02,household_fact,您家通常一起居住的有几个人，包括您自己？,1,1,1,scalar,2,2人,answered,family_structure,,V2_SYNTHETIC_FIXED,aab74ca47d480bc93ddd5d7243020044d439b9408a9f4ed8af0092159fc26334
cityrole-0001,B04,household_fact,在本次指定月份，白天您家通常有人在家吗？,1,1,1,scalar,mostly_absent,大部分时间没人,answered,derived_synthetic_member_routines,,V2_SYNTHETIC_FIXED,aab74ca47d480bc93ddd5d7243020044d439b9408a9f4ed8af0092159fc26334
cityrole-0001,B05,household_fact,请选择家中拥有、要纳入日常用电安排的设备；所选设备都会进入本次模拟。,1,1,1,list_item,ac,空调,answered,v2_EB_selected_device_scope_not_physical_inventory,,V2_SYNTHETIC_FIXED,aab74ca47d480bc93ddd5d7243020044d439b9408a9f4ed8af0092159fc26334
cityrole-0001,B05,household_fact,请选择家中拥有、要纳入日常用电安排的设备；所选设备都会进入本次模拟。,1,1,2,list_item,washer,洗衣机,answered,v2_EB_selected_device_scope_not_physical_inventory,,V2_SYNTHETIC_FIXED,aab74ca47d480bc93ddd5d7243020044d439b9408a9f4ed8af0092159fc26334
cityrole-0001,F_EVENING,household_fact,平时 18:00—22:00，您家通常有人在家吗？,1,1,1,scalar,mostly_home,大部分时间有人,answered,derived_synthetic_member_routines,,V2_SYNTHETIC_FIXED,aab74ca47d480bc93ddd5d7243020044d439b9408a9f4ed8af0092159fc26334
cityrole-0001,F_REGULARITY,household_fact,您家成员的外出、回家和休息时间通常规律吗？,0,1,1,scalar,regular,大体固定,answered,experimental_profile,,V2_SYNTHETIC_FIXED,aab74ca47d480bc93ddd5d7243020044d439b9408a9f4ed8af0092159fc26334
cityrole-0001,F_LATE_USE,household_fact,您家是否经常有人在深夜（零点以后）仍在活动并使用电器？,0,1,1,scalar,rarely,很少或没有,answered,experimental_profile,,V2_SYNTHETIC_FIXED,aab74ca47d480bc93ddd5d7243020044d439b9408a9f4ed8af0092159fc26334
cityrole-0001,M_MEMBERS,member_profile,家里每个人的日常偏好,1,1,1,member_reference,,,answered,age_compatible_synthetic_member_routines_and_preferences,members_300.csv,V2_SYNTHETIC_FIXED,aab74ca47d480bc93ddd5d7243020044d439b9408a9f4ed8af0092159fc26334
cityrole-0001,H_ac,household_fact,在本次指定月份，空调一般什么时候用？,1,1,1,scalar,evening,傍晚到睡前（18:00—23:00）,answered,experimental_monthly_cooling_habit,,V2_SELECTED_DEVICE_SCOPE,aab74ca47d480bc93ddd5d7243020044d439b9408a9f4ed8af0092159fc26334
cityrole-0001,H_washer,household_fact,在本次指定月份，洗衣机一般什么时候用？,1,1,1,scalar,19.8333333333,19:50,answered,experimental_legal_task_window,,V2_SELECTED_DEVICE_SCOPE,aab74ca47d480bc93ddd5d7243020044d439b9408a9f4ed8af0092159fc26334
cityrole-0001,D_washer,household_fact,洗衣机这项任务，通常最晚几点需要完成？,1,1,1,scalar,23,23:00,answered,experimental_legal_task_window,,V2_SELECTED_DEVICE_SCOPE,aab74ca47d480bc93ddd5d7243020044d439b9408a9f4ed8af0092159fc26334
cityrole-0001,E_washer,household_fact,洗衣机通常从几点起就可以开始？,1,1,1,scalar,19,19:00,answered,experimental_legal_task_window,,V2_SELECTED_DEVICE_SCOPE,aab74ca47d480bc93ddd5d7243020044d439b9408a9f4ed8af0092159fc26334
cityrole-0001,T_washer,household_fact,洗衣机一次通常需要多久？（分钟）,1,1,1,scalar,1.0,60 分钟,answered,experimental_legal_task_window,,V2_SELECTED_DEVICE_SCOPE,aab74ca47d480bc93ddd5d7243020044d439b9408a9f4ed8af0092159fc26334
cityrole-0001,H_dishwasher,household_fact,在本次指定月份，洗碗机一般什么时候用？,1,0,1,none,,,not_applicable,questionnaire_skip_rule,,V2_SELECTED_DEVICE_SCOPE,aab74ca47d480bc93ddd5d7243020044d439b9408a9f4ed8af0092159fc26334
cityrole-0001,D_dishwasher,household_fact,洗碗机这项任务，通常最晚几点需要完成？,1,0,1,none,,,not_applicable,questionnaire_skip_rule,,V2_SELECTED_DEVICE_SCOPE,aab74ca47d480bc93ddd5d7243020044d439b9408a9f4ed8af0092159fc26334
cityrole-0001,E_dishwasher,household_fact,洗碗机通常从几点起就可以开始？,1,0,1,none,,,not_applicable,questionnaire_skip_rule,,V2_SELECTED_DEVICE_SCOPE,aab74ca47d480bc93ddd5d7243020044d439b9408a9f4ed8af0092159fc26334
cityrole-0001,T_dishwasher,household_fact,洗碗机一次通常需要多久？（分钟）,1,0,1,none,,,not_applicable,questionnaire_skip_rule,,V2_SELECTED_DEVICE_SCOPE,aab74ca47d480bc93ddd5d7243020044d439b9408a9f4ed8af0092159fc26334
cityrole-0001,H_dryer,household_fact,在本次指定月份，烘干机一般什么时候用？,1,0,1,none,,,not_applicable,questionnaire_skip_rule,,V2_SELECTED_DEVICE_SCOPE,aab74ca47d480bc93ddd5d7243020044d439b9408a9f4ed8af0092159fc26334
cityrole-0001,D_dryer,household_fact,烘干机这项任务，通常最晚几点需要完成？,1,0,1,none,,,not_applicable,questionnaire_skip_rule,,V2_SELECTED_DEVICE_SCOPE,aab74ca47d480bc93ddd5d7243020044d439b9408a9f4ed8af0092159fc26334
cityrole-0001,E_dryer,household_fact,烘干机通常从几点起就可以开始？,1,0,1,none,,,not_applicable,questionnaire_skip_rule,,V2_SELECTED_DEVICE_SCOPE,aab74ca47d480bc93ddd5d7243020044d439b9408a9f4ed8af0092159fc26334
cityrole-0001,T_dryer,household_fact,烘干机一次通常需要多久？（分钟）,1,0,1,none,,,not_applicable,questionnaire_skip_rule,,V2_SELECTED_DEVICE_SCOPE,aab74ca47d480bc93ddd5d7243020044d439b9408a9f4ed8af0092159fc26334
cityrole-0001,H_electric_water_heater,household_fact,电热水器通常从什么时候开始加热？（请按真实习惯填写；午夜或跨夜安排可保存，暂不能生成模拟）,1,0,1,none,,,not_applicable,questionnaire_skip_rule,,V2_SELECTED_DEVICE_SCOPE,aab74ca47d480bc93ddd5d7243020044d439b9408a9f4ed8af0092159fc26334
cityrole-0001,H_home_ev,household_fact,电动汽车通常什么时候在家接入充电设备？,1,0,1,none,,,not_applicable,questionnaire_skip_rule,,V2_SELECTED_DEVICE_SCOPE,aab74ca47d480bc93ddd5d7243020044d439b9408a9f4ed8af0092159fc26334
cityrole-0001,H_ac_temp,household_fact,空调需要制冷时，通常设为多少度？（22—28℃；此项不是供暖温度）,1,1,1,scalar,25,25℃,answered,experimental_profile,,V2_SELECTED_DEVICE_SCOPE,aab74ca47d480bc93ddd5d7243020044d439b9408a9f4ed8af0092159fc26334
cityrole-0001,D_home_ev,household_fact,接入充电后，电动汽车通常几点离家？（早于接入时刻表示次日；请勿选择相同时刻）,1,0,1,none,,,not_applicable,questionnaire_skip_rule,,V2_SELECTED_DEVICE_SCOPE,aab74ca47d480bc93ddd5d7243020044d439b9408a9f4ed8af0092159fc26334
cityrole-0001,D_electric_water_heater,household_fact,电热水器通常加热到几点？（早于开始表示次日；跨夜答案可保存，暂不能生成模拟）,1,0,1,none,,,not_applicable,questionnaire_skip_rule,,V2_SELECTED_DEVICE_SCOPE,aab74ca47d480bc93ddd5d7243020044d439b9408a9f4ed8af0092159fc26334
cityrole-0001,H_ac_start,household_fact,空调通常几点开始使用？,1,0,1,none,,,not_applicable,questionnaire_skip_rule,,V2_SELECTED_DEVICE_SCOPE,aab74ca47d480bc93ddd5d7243020044d439b9408a9f4ed8af0092159fc26334
cityrole-0001,H_ac_end,household_fact,空调通常几点结束使用？（早于开始时间表示次日）,1,0,1,none,,,not_applicable,questionnaire_skip_rule,,V2_SELECTED_DEVICE_SCOPE,aab74ca47d480bc93ddd5d7243020044d439b9408a9f4ed8af0092159fc26334
