role_id,source_version,city,province,family_size,generation_category,older_member_present,weekday_day_presence,evening_presence,routine_regularity,monthly_income_scenario_yuan,monthly_bill_scenario_yuan,bill_pressure_description,budget_explanation,tradeoff_condition,cost_importance_1_5,comfort_importance_1_5,grid_importance_1_5,control_condition,housing_form,h7_room_category,h7_room_minimum,h6_design_building_area_m2,h6_area_basis,whole_dwelling_building_area_m2,whole_dwelling_area_status,household_accounted_net_area_m2,whole_dwelling_modeled_net_area_m2,selected_controlled_zone_area_m2,common_allocated_area_m2,other_resident_count,building_type,virtual_building_id,housing_mode,source_catalog_key,weather_station_key,weather_station_distance_km,private_control_scope,home_charging_access,home_ev_driver_member_id,role_card_short,actor_card_full,event_presence_status,participant_feedback_status,simulation_result_status,population_weight_status,owned_ac_unit_count,eb_controllable_ac_unit_count,eb_selected_ac_zone_count,synthetic_owned_device_types,eb_intervention_device_types,owned_background_excluded_device_types
cityrole-0001,v2_control1_D_inputs,南昌市,江西,2,2,0,mostly_absent,mostly_home,regular,6400,360,电费有余量，通常不需改变开支,本月电费已列入预算，按当前金额可以承担。,middle,3,3,2,high_trust_auto,independent_dwelling,two_rooms,2,129.0,synthetic_H6_like_whole_dwelling_building_area,129.0,EXPERIMENTAL_DESIGN_NOT_OBSERVED,96.992481,96.992481,96.992481,0,NOT_APPLICABLE,apartment,cn-home-0001,self_contained_openplan,Low-rise apartment_Nanchang_2001,CHN_Jiangxi.Nanchang.586060_CSWD,9.144,D_selected_EB_devices_and_private_AC_zones,0,,"【v2隔离合成角色；无真人回答】cityrole-0001｜江西南昌市｜本户2人；独立住房设计建筑面积129.0㎡。原合成持有设备：ac,washer；本次EB纳入：ac,washer；空调持有2台，本次可控2台。","【v2隔离合成角色；无真人回答】
cityrole-0001｜江西南昌市｜本户2人。独立住房设计建筑面积129.0㎡。
原合成持有设备：ac,washer；本次EB纳入：ac,washer；空调持有2台，本次可控2台。
收入、电费、设备习惯与控制偏好均为实验情境；事件当天是否有人在受控房间未知。",UNKNOWN,NOT_COLLECTED,D_G_RESULTS_NOT_IN_FIXED_ROLE_CSV,UNKNOWN,2,2,2,"ac,washer","ac,washer",none
cityrole-0002,v2_control1_D_inputs,广州市,广东,4,3,0,mostly_occupied,partly_home,irregular,26000,720,电费不构成当前预算约束,本月电费占可安排预算较小。,both_high,5,5,1,confirm_required,independent_dwelling,three_rooms,3,42.0,synthetic_H6_like_whole_dwelling_building_area,42.0,EXPERIMENTAL_DESIGN_NOT_OBSERVED,31.578947,31.578947,31.578947,0,NOT_APPLICABLE,apartment,cn-home-0002,self_contained_source_three_room,Low-rise apartment_Guangzhou_2012,CHN_Guangdong.Guangzhou.592870_CSWD,5.46,D_selected_EB_devices_and_private_AC_zones,0,,【v2隔离合成角色；无真人回答】cityrole-0002｜广东广州市｜本户4人；独立住房设计建筑面积42.0㎡。原合成持有设备：ac；本次EB纳入：ac；空调持有1台，本次可控1台。,"【v2隔离合成角色；无真人回答】
cityrole-0002｜广东广州市｜本户4人。独立住房设计建筑面积42.0㎡。
原合成持有设备：ac；本次EB纳入：ac；空调持有1台，本次可控1台。
收入、电费、设备习惯与控制偏好均为实验情境；事件当天是否有人在受控房间未知。",UNKNOWN,NOT_COLLECTED,D_G_RESULTS_NOT_IN_FIXED_ROLE_CSV,UNKNOWN,1,1,1,ac,ac,none
cityrole-0003,v2_control1_D_inputs,潮州市,广东,2,1,0,sometimes_occupied,varies,irregular,6400,360,电费超出预算会挤占必要支出,必要生活开支较多，本月电费变化容易挤占其他项目。,middle,3,3,3,low_auto_accept,independent_dwelling,one_room,1,109.0,synthetic_H6_like_whole_dwelling_building_area,109.0,EXPERIMENTAL_DESIGN_NOT_OBSERVED,81.954887,81.954887,81.954887,0,NOT_APPLICABLE,apartment,cn-home-0003,self_contained_openplan,Low-rise apartment_Shantou_2003,CHN_Guangdong.Shantou.593160_CSWD,46.236,D_selected_EB_devices_and_private_AC_zones,0,,【v2隔离合成角色；无真人回答】cityrole-0003｜广东潮州市｜本户2人；独立住房设计建筑面积109.0㎡。原合成持有设备：electric_water_heater；本次EB纳入：electric_water_heater；空调持有0台，本次可控0台。,"【v2隔离合成角色；无真人回答】
cityrole-0003｜广东潮州市｜本户2人。独立住房设计建筑面积109.0㎡。
原合成持有设备：electric_water_heater；本次EB纳入：electric_water_heater；空调持有0台，本次可控0台。
收入、电费、设备习惯与控制偏好均为实验情境；事件当天是否有人在受控房间未知。",UNKNOWN,NOT_COLLECTED,D_G_RESULTS_NOT_IN_FIXED_ROLE_CSV,UNKNOWN,0,0,0,electric_water_heater,electric_water_heater,none
cityrole-0004,v2_control1_D_inputs,漳州市,福建,1,1,0,sometimes_occupied,partly_home,partly_regular,2000,120,电费不构成当前预算约束,本月电费已列入预算，按当前金额可以承担。,both_high,5,5,3,high_trust_auto,shared_dwelling_private_rooms_with_allocated_common_area,one_room,1,14.5,synthetic_H6_like_household_attributed_building_area_in_shared_dwelling,68.270824,EXPERIMENTAL_DESIGN_NOT_OBSERVED,13.775,64.857283,11.585144,2.189856,UNKNOWN,apartment,cn-home-0004,shared_flat_private_rooms,High-rise apartment(slab type)_Xiamen_2003,CHN_Fujian.Xiamen.591340_CSWD,37.304,D_selected_EB_devices_and_private_AC_zones,0,,【v2隔离合成角色；无真人回答】cityrole-0004｜福建漳州市｜本户1人；合住：本户H6归属建筑面积14.5㎡；整套设计建筑面积68.270824㎡。其他住户人数未知。原合成持有设备：ac；本次EB纳入：ac；空调持有1台，本次可控1台。,"【v2隔离合成角色；无真人回答】
cityrole-0004｜福建漳州市｜本户1人。合住：本户H6归属建筑面积14.5㎡；整套设计建筑面积68.270824㎡。其他住户人数未知。
原合成持有设备：ac；本次EB纳入：ac；空调持有1台，本次可控1台。
收入、电费、设备习惯与控制偏好均为实验情境；事件当天是否有人在受控房间未知。",UNKNOWN,NOT_COLLECTED,D_G_RESULTS_NOT_IN_FIXED_ROLE_CSV,UNKNOWN,1,1,1,ac,ac,none
cityrole-0005,v2_control1_D_inputs,莆田市,福建,4,2,0,sometimes_occupied,partly_home,partly_regular,26000,720,电费不构成当前预算约束,本月电费占可安排预算较小。,saving_priority,5,1,5,confirm_required,independent_dwelling,three_rooms,3,42.0,synthetic_H6_like_whole_dwelling_building_area,42.0,EXPERIMENTAL_DESIGN_NOT_OBSERVED,31.578947,31.578947,31.578947,0,NOT_APPLICABLE,apartment,cn-home-0005,self_contained_source_three_room,Low-rise apartment_Fuzhou_2012,CHN_Fujian.Congwu.591330_CSWD,60.992,D_selected_EB_devices_and_private_AC_zones,0,,"【v2隔离合成角色；无真人回答】cityrole-0005｜福建莆田市｜本户4人；独立住房设计建筑面积42.0㎡。原合成持有设备：ac,washer；本次EB纳入：ac,washer；空调持有2台，本次可控2台。","【v2隔离合成角色；无真人回答】
cityrole-0005｜福建莆田市｜本户4人。独立住房设计建筑面积42.0㎡。
原合成持有设备：ac,washer；本次EB纳入：ac,washer；空调持有2台，本次可控2台。
收入、电费、设备习惯与控制偏好均为实验情境；事件当天是否有人在受控房间未知。",UNKNOWN,NOT_COLLECTED,D_G_RESULTS_NOT_IN_FIXED_ROLE_CSV,UNKNOWN,2,2,2,"ac,washer","ac,washer",none
cityrole-0006,v2_control1_D_inputs,赤峰市,内蒙古,3,2,1,mostly_occupied,partly_home,irregular,6000,520,电费可承担，但会留意变化,本月电费可承担，但家庭会留意它的变化。,saving_priority,4,2,3,high_trust_auto,independent_dwelling,three_rooms,3,73.5,synthetic_H6_like_whole_dwelling_building_area,73.5,EXPERIMENTAL_DESIGN_NOT_OBSERVED,55.263158,55.263158,55.263158,0,NOT_APPLICABLE,apartment,cn-home-0006,self_contained_source_three_room,Low-rise apartment_Chifeng_2010,CHN_Nei.Mongol.Chifeng.542180_CSWD,0.69,D_selected_EB_devices_and_private_AC_zones,1,m03,"【v2隔离合成角色；无真人回答】cityrole-0006｜内蒙古赤峰市｜本户3人；独立住房设计建筑面积73.5㎡。原合成持有设备：electric_water_heater,home_ev,washer；本次EB纳入：electric_water_heater,home_ev,washer；空调持有0台，本次可控0台。","【v2隔离合成角色；无真人回答】
cityrole-0006｜内蒙古赤峰市｜本户3人。独立住房设计建筑面积73.5㎡。
原合成持有设备：electric_water_heater,home_ev,washer；本次EB纳入：electric_water_heater,home_ev,washer；空调持有0台，本次可控0台。
收入、电费、设备习惯与控制偏好均为实验情境；事件当天是否有人在受控房间未知。",UNKNOWN,NOT_COLLECTED,D_G_RESULTS_NOT_IN_FIXED_ROLE_CSV,UNKNOWN,0,0,0,"electric_water_heater,home_ev,washer","electric_water_heater,home_ev,washer",none
cityrole-0007,v2_control1_D_inputs,广州市,广东,2,1,0,mostly_occupied,partly_home,partly_regular,19000,720,电费不构成当前预算约束,本月电费占可安排预算较小。,both_low,2,2,3,low_auto_accept,independent_dwelling,one_room,1,89.0,synthetic_H6_like_whole_dwelling_building_area,89.0,EXPERIMENTAL_DESIGN_NOT_OBSERVED,66.917293,66.917293,66.917293,0,NOT_APPLICABLE,apartment,cn-home-0007,self_contained_openplan,Low-rise apartment_Guangzhou_2003,CHN_Guangdong.Guangzhou.592870_CSWD,5.46,D_selected_EB_devices_and_private_AC_zones,0,,【v2隔离合成角色；无真人回答】cityrole-0007｜广东广州市｜本户2人；独立住房设计建筑面积89.0㎡。原合成持有设备：ac；本次EB纳入：ac；空调持有1台，本次可控1台。,"【v2隔离合成角色；无真人回答】
cityrole-0007｜广东广州市｜本户2人。独立住房设计建筑面积89.0㎡。
原合成持有设备：ac；本次EB纳入：ac；空调持有1台，本次可控1台。
收入、电费、设备习惯与控制偏好均为实验情境；事件当天是否有人在受控房间未知。",UNKNOWN,NOT_COLLECTED,D_G_RESULTS_NOT_IN_FIXED_ROLE_CSV,UNKNOWN,1,1,1,ac,ac,none
cityrole-0008,v2_control1_D_inputs,马鞍山市,安徽,2,1,0,sometimes_occupied,varies,irregular,9000,720,电费有压力，需调整其他开支,必要生活开支较多，本月电费变化容易挤占其他项目。,saving_priority,4,2,5,low_auto_accept,independent_dwelling,three_rooms,3,129.0,synthetic_H6_like_whole_dwelling_building_area,129.0,EXPERIMENTAL_DESIGN_NOT_OBSERVED,96.992481,96.992481,96.992481,0,NOT_APPLICABLE,apartment,cn-home-0008,self_contained_source_three_room,High-rise apartment(slab type)_Hefei_2001,CHN_Anhui.Hefei.583210_CSWD,121.71,D_selected_EB_devices_and_private_AC_zones,0,,"【v2隔离合成角色；无真人回答】cityrole-0008｜安徽马鞍山市｜本户2人；独立住房设计建筑面积129.0㎡。原合成持有设备：ac,electric_water_heater,washer；本次EB纳入：ac,electric_water_heater,washer；空调持有1台，本次可控1台。","【v2隔离合成角色；无真人回答】
cityrole-0008｜安徽马鞍山市｜本户2人。独立住房设计建筑面积129.0㎡。
原合成持有设备：ac,electric_water_heater,washer；本次EB纳入：ac,electric_water_heater,washer；空调持有1台，本次可控1台。
收入、电费、设备习惯与控制偏好均为实验情境；事件当天是否有人在受控房间未知。",UNKNOWN,NOT_COLLECTED,D_G_RESULTS_NOT_IN_FIXED_ROLE_CSV,UNKNOWN,1,1,1,"ac,electric_water_heater,washer","ac,electric_water_heater,washer",none
cityrole-0009,v2_control1_D_inputs,周口市,河南,2,2,1,mostly_occupied,mostly_home,regular,4000,220,电费有余量，通常不需改变开支,本月电费已列入预算，按当前金额可以承担。,both_low,2,2,1,high_trust_auto,independent_dwelling,three_rooms,3,69.0,synthetic_H6_like_whole_dwelling_building_area,69.0,EXPERIMENTAL_DESIGN_NOT_OBSERVED,51.879699,51.879699,51.879699,0,NOT_APPLICABLE,apartment,cn-home-0009,self_contained_source_three_room,Low-rise apartment_Zhumadian_2001,CHN_Henan.Zhumadian.572900_CSWD,90.292,D_selected_EB_devices_and_private_AC_zones,0,,"【v2隔离合成角色；无真人回答】cityrole-0009｜河南周口市｜本户2人；独立住房设计建筑面积69.0㎡。原合成持有设备：ac,washer；本次EB纳入：ac,washer；空调持有2台，本次可控2台。","【v2隔离合成角色；无真人回答】
cityrole-0009｜河南周口市｜本户2人。独立住房设计建筑面积69.0㎡。
原合成持有设备：ac,washer；本次EB纳入：ac,washer；空调持有2台，本次可控2台。
收入、电费、设备习惯与控制偏好均为实验情境；事件当天是否有人在受控房间未知。",UNKNOWN,NOT_COLLECTED,D_G_RESULTS_NOT_IN_FIXED_ROLE_CSV,UNKNOWN,2,2,2,"ac,washer","ac,washer",none
cityrole-0010,v2_control1_D_inputs,郑州市,河南,1,1,0,sometimes_occupied,partly_home,partly_regular,9500,120,电费有压力，需调整其他开支,本月收入已有其他固定支出安排，可灵活调整的预算较紧。,middle,3,3,2,low_auto_accept,independent_dwelling,three_rooms,3,75.0,synthetic_H6_like_whole_dwelling_building_area,75.0,EXPERIMENTAL_DESIGN_NOT_OBSERVED,56.390977,56.390977,56.390977,0,NOT_APPLICABLE,apartment,cn-home-0010,self_contained_source_three_room,High-rise apartment(slab type)_Zhengzhou_2010,CHN_Henan.Zhengzhou.570830_CSWD,5.229,D_selected_EB_devices_and_private_AC_zones,0,,"【v2隔离合成角色；无真人回答】cityrole-0010｜河南郑州市｜本户1人；独立住房设计建筑面积75.0㎡。原合成持有设备：ac,electric_water_heater,washer；本次EB纳入：ac,electric_water_heater,washer；空调持有1台，本次可控1台。","【v2隔离合成角色；无真人回答】
cityrole-0010｜河南郑州市｜本户1人。独立住房设计建筑面积75.0㎡。
原合成持有设备：ac,electric_water_heater,washer；本次EB纳入：ac,electric_water_heater,washer；空调持有1台，本次可控1台。
收入、电费、设备习惯与控制偏好均为实验情境；事件当天是否有人在受控房间未知。",UNKNOWN,NOT_COLLECTED,D_G_RESULTS_NOT_IN_FIXED_ROLE_CSV,UNKNOWN,1,1,1,"ac,electric_water_heater,washer","ac,electric_water_heater,washer",none
