role_id,device,owned_unit_count,eb_controlled_unit_count,control_scope,operation_condition,weekly_frequency_code,usual_start_code,earliest_start_code,latest_end_code,task_duration_hours_internal,task_duration_minutes,ac_mode,ac_temperature_c,device_data_status
cityrole-0001,ac,2,2,D_selected_private_AC_zones,有人在受控房间时使用；18:00–18:30若空屋预冷，须当天确认家户许可及实际预约/远控能力，否则到家后开启；空屋冷量不算舒适收益。,days_2_3,evening,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,evening,25,V2_SYNTHETIC_FIXED_SELECTED_FOR_EB
cityrole-0001,washer,1,UNKNOWN,D_injected_EB_private_equipment_synthetic_access,默认时刻须有成员在家并完成装载；轮班或事件日另核，不默认预约或远程启动。,days_2_3,19.8333333333,19,23,1.0,60,NOT_APPLICABLE,NOT_APPLICABLE,V2_SYNTHETIC_FIXED_SELECTED_FOR_EB
cityrole-0002,ac,1,1,D_selected_private_AC_zones,有人在受控房间时使用；18:00–18:30若空屋预冷，须当天确认家户许可及实际预约/远控能力，否则到家后开启；空屋冷量不算舒适收益。,days_4_6,evening,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,evening,26,V2_SYNTHETIC_FIXED_SELECTED_FOR_EB
cityrole-0003,electric_water_heater,1,UNKNOWN,D_injected_EB_private_equipment_synthetic_access,普通加热须对准有人需要热水的时段；事件日及额外提前加热按当次许可确认。,days_7,19.8333333333,NOT_APPLICABLE,22,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,V2_SYNTHETIC_FIXED_SELECTED_FOR_EB
cityrole-0004,ac,1,1,D_selected_private_AC_zones,有人在受控房间时使用；轮班或事件日另核，不把空屋冷量算作舒适收益。,days_2_3,custom,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,custom,24,V2_SYNTHETIC_FIXED_SELECTED_FOR_EB
cityrole-0005,ac,2,2,D_selected_private_AC_zones,有人在受控房间时使用；18:00–18:30若空屋预冷，须当天确认家户许可及实际预约/远控能力，否则到家后开启；空屋冷量不算舒适收益。,days_4_6,evening,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,evening,25,V2_SYNTHETIC_FIXED_SELECTED_FOR_EB
cityrole-0005,washer,1,UNKNOWN,D_injected_EB_private_equipment_synthetic_access,默认时刻须有成员在家并完成装载；轮班或事件日另核，不默认预约或远程启动。,days_4_6,21,19,24,1.0,60,NOT_APPLICABLE,NOT_APPLICABLE,V2_SYNTHETIC_FIXED_SELECTED_FOR_EB
cityrole-0006,electric_water_heater,1,UNKNOWN,D_injected_EB_private_equipment_synthetic_access,普通加热须对准有人需要热水的时段；事件日及额外提前加热按当次许可确认。,days_7,19.8333333333,NOT_APPLICABLE,22,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,V2_SYNTHETIC_FIXED_SELECTED_FOR_EB
cityrole-0006,home_ev,1,UNKNOWN,D_injected_EB_private_equipment_synthetic_access,由m03在典型外出日返家后接入；车辆实际到家、次日离家与充电权限按当天确认。,days_7,21,NOT_APPLICABLE,8.5,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,V2_SYNTHETIC_FIXED_SELECTED_FOR_EB
cityrole-0006,washer,1,UNKNOWN,D_injected_EB_private_equipment_synthetic_access,默认时刻须有成员在家并完成装载；轮班或事件日另核，不默认预约或远程启动。,days_7,19,19,23,1.0,60,NOT_APPLICABLE,NOT_APPLICABLE,V2_SYNTHETIC_FIXED_SELECTED_FOR_EB
cityrole-0007,ac,1,1,D_selected_private_AC_zones,有人在受控房间时使用；轮班或事件日另核，不把空屋冷量算作舒适收益。,days_2_3,all_day,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,all_day,27,V2_SYNTHETIC_FIXED_SELECTED_FOR_EB
cityrole-0008,ac,1,1,D_selected_private_AC_zones,有人在受控房间时使用；轮班或事件日另核，不把空屋冷量算作舒适收益。,days_4_6,custom,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,custom,24,V2_SYNTHETIC_FIXED_SELECTED_FOR_EB
cityrole-0008,electric_water_heater,1,UNKNOWN,D_injected_EB_private_equipment_synthetic_access,普通加热须对准有人需要热水的时段；事件日及额外提前加热按当次许可确认。,days_4_6,19,NOT_APPLICABLE,22,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,V2_SYNTHETIC_FIXED_SELECTED_FOR_EB
cityrole-0008,washer,1,UNKNOWN,D_injected_EB_private_equipment_synthetic_access,默认时刻须有成员在家并完成装载；轮班或事件日另核，不默认预约或远程启动。,days_4_6,21,19,24,1.0,60,NOT_APPLICABLE,NOT_APPLICABLE,V2_SYNTHETIC_FIXED_SELECTED_FOR_EB
